Nimi,Valuutta,Tietoa,Rating,Riski,Vastuullisuus (SFDR),Omistajia Nordnetissä,Kulut,Kategoria,Yläluokka,Alakategoria
Franklin Mutual US Value A acc USD,USD,"Rahasto sijoittaa joko suoraan tai johdannaisinstrumenttien avulla ensisijaisesti kantaosakkeisiin ja etuoikeutettuihin osakkeisiin ja velkainstrumentteihin, jotka ovat vaihdettavissa tai joiden odotetaan olevan vaihdettavissa tavallisiin tai etuoikeutettuihin osakkeisiin. Enintään 30 % rahaston kokonaisnettovarallisuudesta sijoitetaan muiden kuin yhdysvaltalaisten liikkeeseenlaskijoiden arvopapereihin.Rahasto pyrkii myös sijoittamaan sulautumassa, yhdistymässä, selvitystilassa tai saneerauksessa olevien yritysten arvopapereihin tai sellaisten yritysten arvopapereihin, joihin liittyy tarjousanteja tai vaihtotarjouksia, ja rahasto voi myös osallistua näihin järjestelyihin. Rahasto voi myös ostaa uudelleenjärjestelyjen kohteena olevien tai yrityssaneerauksessa olevien yhtiöiden vakuudellisia tai vakuudettomia velkasitoumuksia ja osuuksia niistä.",1 star,4 / 7,6,188,"1,84%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat arvoyhtiöt
Allianz Global Water AT EUR,EUR,Long-term capital growth by investing in global Equity Markets with a focus on companies with an engagement in the area of water resource management in accordance with E/S characteristics.,2 stars,4 / 7,8,323,"2,10%",Sektori,Vesi,
T. Rowe Price US Lrg Cap Val Eq A,USD,"The investment objective of the fund is to increase the value of its shares, over the long term, through growth in the value of its investments.",2 stars,4 / 7,8,1678,"1,61%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat arvoyhtiöt
DWS Invest CROCI US USD LC,USD,"This sub-fund promotes environmental and social characteristics and reports as product in accordance with article 8(1) of Regulation (EU) 2019/2088 on sustainability related disclosures in the financial services sector (“SFDR”). While the sub-fund does not have as its objective a sustainable investment, it will invest a minimum proportion of its assets in sustainable investments as defined by article 2 (17) SFDR. The objective of the investment policy of the fund is to achieve long term capital appreciation by investing at least 60% in large cap US equities that are considered undervalued according to the CROCI methodology and the CROCI US investment strategy.",3 stars,4 / 7,8,187,"1,12%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat arvoyhtiöt
SEB Nordic Future Opportunity C EUR,EUR,"SEB Nordic Future Opportunity Fund pyrkii kasvattamaan rahastosijoituksen arvoa ajan myötä ja pyrkii samalla synnyttämään myönteisiä ympäristöön ja yhteiskuntaan liittyviä vaikutuksia ja auttamaan mm. Pariisin ilmastosopimuksen pitkän aikavälin tavoitteen saavuttamisessa. Rahasto sijoittaa pääasiassa pohjoismaisten yritysten osakkeisiin. Yrityskoot vaihtelevat pienestä suureen. Tarkemmin sanottuna rahasto sijoittaa vähintään 75 % kokonaisnettovaroistaan minkä tahansa sektorien ja minkä tahansa Euroopan talousalueen (ETA) maiden tai ETA-alueen säännellyillä markkinoilla vaihdettujen yritysten osakkeisiin ja osakesidonnaisiin arvopapereihin keskittyen erityisesti Pohjoismaihin (Tanska, Suomi, Islanti, Norja ja Ruotsi).",2 stars,4 / 7,9,92,"1,26%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Pohjoismaat
abrdn-European Sust Equity A Acc EUR,EUR,"The Fund’s investment objective is long term total return to be achieved by investing at least 90% of the Fund’s assets in equities and equity-related securities of companies listed, incorporated or domiciled in Europe, or companies that derive a significant proportion of their revenues or profits from European operations, or have a significant proportion of their assets there.",3 stars,4 / 7,8,188,"1,67%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret kasvuosakkeet
Evli Maailma X B,EUR,"Sijoitusrahasto Evli Maailma X sijoittaa varansa osakkeisiin maailmanlaajuisesti. Rahaston sijoitustyyli on aktiivinen. Rahaston sijoituskohteina ovat pääasiassa kehittyneiden talouksien osakkeet Euroopassa, Pohjois-Amerikassa, Japanissa ja Australiassa. Rahaston sijoitusstrategia painottaa alihinnoiteltuja yhtiöitä, joilla on hyvä kassavirta ja velanhoitokyky. Rahaston sijoitustoiminnassa noudatetaan Evli-Rahastoyhtiön vastuullisen sijoittamisen linjauksia, minkä lisäksi rahasto poissulkee sijoituksistaan yhtiöt, joilla on merkittävää liiketoimintaa seuraavilla aloilla: alkoholi, ase, tupakka, uhkapeli, kivihiili, ydinvoima, aikuisviihde tai geenimuunnellut organismit. Kivihiileen liittyvästä poissulkemisesta voidaan poiketa, mikäli yhtiöllä on uskottava suunnitelma kivihiilen käytön vähentämiseksi tulevaisuudessa.",3 stars,4 / 7,8,118,"1,91%",Maantiede,Maailma,Maailma joustava
Fondita Healthcare B,EUR,"Fondita Healthcare on globaali osakerahasto, jolla on yhteiskuntavastuullinen kestävyystavoite. Rahasto sijoittaa yrityksiin, jotka edistävät terveyttä ja hyvinvointia. Rahaston omistusten toiminta tukee useita YK:n kestävän kehityksen tavoitteita. Pääasiallisesti rahaston omistukset edesauttavat parantamaan terveyttä ja hyvinvointia (SDG 3) sekä sukupuolten tasa-arvoa (SDG 5). Rahasto keskittyy innovatiivisiin, laadukkaisiin yrityksiin, joilla on hyvä kasvuprofiili ja jotka vastaavat nykyisiin ja tyydyttämättömiin lääketieteellisiin tarpeisiin ja tarjoavat lääkkeiden ja sairaanhoidon saatavuutta. Rahaston pääomistukset ovat yhtiöissä, jotka toimivat lääkkeiden ja terveydenhuollon laitteiden, välineiden ja tarvikkeiden sekä diagnostiikka- että terveydenhuoltopalvelujen kehityksen, tuotannon ja jakelun alalla. Rahaston kasvuajureita ovat väestön ikääntyminen, elintason nousu, lääkealan innovaatiot ja teknologinen kehitys.",3 stars,4 / 7,9,595,"2,00%",Sektori,Terveydenhuolto,
JPM US Small Cap Growth A (dist) USD,USD,"Rahaston varat sijoitetaan pieniin pohjoisamerikkalaisiin yrityksiin, joiden markkina-arvo on pienempi kuin Russel 2000 indeksin parhaiden 10% keskiarvo.",2 stars,5 / 7,8,600,"1,77%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat pienyhtiöt
Carnegie US Small & Micro Cap,SEK,"Carnegie US Small & Micro Cap is an actively managed equity fund that invests in approximately 30 American small-cap companies with strong leadership and ownership. The fund focuses on market leaders with unique characteristics, strong brands, and solid growth potential.",4 stars,4 / 7,8,2085,"1,60%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Yhdysvallat pienyhtiöt
M&G (Lux) Positive Impact A USD Acc,USD,The Fund has two aims: Financial objective: to provide a higher total return (the combination of capital growth and income) than that of the global equity market over any five-year period; and Impact objective: to invest in companies that have a positive societal impact through addressing the world’s major social and/or environmental challenges.,1 star,4 / 7,9,2,"1,99%",Maantiede,Maailma,Maailma joustava
Pictet-Indian Equities P USD,USD,Rahasto sijoittaa intialaisiin yrityksiin laajalla hajautuksella.,3 stars,4 / 7,6,137,"1,72%",Maantiede,Kehittyvät maat,Intia
Swedbank Robur Fastighet A,SEK,"Fastighet is an actively managed equity fund that mainly invests in companies with a real estate focus, such as property management companies, brokers or construction companies in Sweden and worldwide. Normally, 25 percent is invested in Sweden and 75 percent globally. The fund may also invest in other companies that predominantly own real assets, such as forest and power companies. The fund is managed with a long-term investment horizon and an active investment strategy focused on a selection of companies, where regional and thematic analyses are also key features of the strategy. The fund complies with Swedbank Robur’s Responsible Investment Policy. Read more about the policy in the fund’s Information Brochure and swedbankrobur.se. Sustainability and climate work is an integrated part in our investment strategy. For more information regarding share classes see the Information Brochure. The fund is suitable for those who want to invest globally in a well-diversified sector fund.",3 stars,4 / 7,8,1940,"1,25%",Kiinteistö,,
Mirae Asset India Sect Ldr Eq A USD,USD,"The primary objective of the Fund is to achieve long term growth in the share price through capital appreciation, measured in US Dollars, of the underlying equity portfolio which promotes environmental, social and governance (ESG) criteria. The Principal Investment Manager will seek to achieve the objective of the Sub-Fund by investing mainly in equities and equity related securities of sector leading companies domiciled in or exercising a large portion of their economic activity in India.",3 stars,5 / 7,8,244,"1,86%",Maantiede,Kehittyvät maat,Intia
Carnegie Indienfond A,SEK,"Tämä rahasto sijoittaa yrityksiin, joiden osakkeita tai oman pääoman ehtoisia siirtokelpoisia arvopapereita noteerataan ETA:n ulkopuolisilla säännellyillä markkinoilla tai vastaavilla markkinoilla tai muilla markkinoilla, jotka ovat avoimia yleisölle ja joilla voidaan käydä kauppaa intialaisilla arvopapereilla ja rahamarkkinainstrumenteilla. Rahasto ei näin ollen rajoitu tietyn maan markkinapaikkaan. Rahaston salkunhoito on aktiivista, eikä se seuraa mitään indeksiä.",2 stars,4 / 7,8,2159,"2,20%",Maantiede,Kehittyvät maat,Intia
Franklin India A(acc)USD,USD,"Rahasto sijoittaa ensisijaisesti sellaisten yhtiöiden osakkeisiin, joiden kotipaikka on Intia tai jotka harjoittavat liiketoimintaa pääasiassa Intiassa. Rahasto pyrkii sijoittamaan useilla eri aloilla toimiviin yrityksiin välittämättä niiden markkina-arvosta. Lisäksi rahasto voi etsiä sijoitusmahdollisuuksia edellä mainittujen tahojen liikkeeseen laskemista kiinteätuottoisista arvopapereista sekä rahamarkkinainstrumenteista.",3 stars,4 / 7,8,1647,"1,80%",Maantiede,Kehittyvät maat,Intia
DNB Fund India A EUR Acc,EUR,"Emphasis is placed on investments in equities in India. Investments in the Indian stock market may also be done indirectly through depository receipts, listed on any stock exchange or Regulated Market. Derivatives (including in particular options and futures contracts) on the above mentioned listed equities might also be used, on an ancillary basis, in order to obtain exposure to the Indian equity market.",2 stars,4 / 7,8,186,"1,63%",Maantiede,Kehittyvät maat,Intia
DWS Invest Global Agribusiness LC,EUR,This sub-fund promotes environmental and social characteristics and qualifies as product in accordance with article 8(1) of Regulation (EU) 2019/2088 on sustainability related disclosures in the financial services sector (“SFDR”). The objective of the investment policy of the fund is to achieve an appreciation as high as possible of capital invested. The sub-fund is actively managed and is not managed in reference to a benchmark.,3 stars,4 / 7,8,146,"1,64%",Sektori,Maatalous,
GS India Equity E Acc EUR,EUR,The Portfolio seeks long-term capital appreciation by investing primarily in equity securities of Indian companies.,3 stars,4 / 7,8,30,"2,44%",Maantiede,Kehittyvät maat,Intia
BGF India A2,USD,"The Fund seeks to maximise total return. The Fund invests at least 70% of its total assets in the equity securities of companies domiciled in, or exercising the predominant part of their economic activity in, India. (The Fund may invest through its Subsidiary).",1 star,4 / 7,6,206,"1,86%",Maantiede,Kehittyvät maat,Intia
JPM India A (dist) USD,USD,"Rahasto sijoittaa varansa intialaisten yritysten osakkeisiin verotussyistä Mauritiuksella sijaitsevien tytäryhtiöiden kautta ja intialaisten yritysten osakkeisiin, joita noteerataan Intian ulkopuolisilla säännellyllä markkinoilla.",1 star,4 / 7,8,293,"1,79%",Maantiede,Kehittyvät maat,Intia
TIN Ny Teknik E,EUR,"The Fund is an equity fund focused on Nordic technology companies whose products and/or services are characterized by a high degree of technological content and companies whose business is characterized by a high degree of research and development, for their own or someone else’s account. The aim of the Fund is to, through the approach described above, over a long term, at least five years, deliver a higher return than its benchmark, VINX Small Cap Net.",1 star,5 / 7,8,118,"1,50%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Pohjoismaat small/mid
TIN Ny Teknik A,SEK,"The Fund is an equity fund focused on Nordic technology companies whose products and/or services are characterized by a high degree of technological content and companies whose business is characterized by a high degree of research and development, for their own or someone else’s account. The aim of the Fund is to, through the approach described above, over a long term, at least five years, deliver a higher return than its benchmark, VINX Small Cap Net.",1 star,5 / 7,8,6659,"1,50%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Pohjoismaat small/mid
